,salary_label,comb_description
0,2.0,data analyst nsw full time inform communic technolog well establish compani start cultur look junior data analyst strong sql skill microsoft background join busi team role take requir stakehold end end view report requir busi work close busi bi team build report dashboard allow decis support develop maintain code extract datamart exist data warehous build new data model along technic document defin scope busi prioriti small scale chang may assist larger scale scope exercis data analysi data model techniqu establish modifi maintain data structur design code test document moder complex program script write technic design brief skill custom focus approach year experi busi intellig analysi develop profici sql microsoft bi suit tableau desktop server sql server ssms ssis ssrs tableau skill good understand databas model data warehous except communic skill written verbal abil interact profession manner build relationship broad rang peopl translat requir project scope technic document work agil methodolog python experi desir experi azur platform sql azur adf blob storag desir look new challeng plea contact sasha discus
1,3.0,data analyst data scienc team nsw full time inform communic technolog newli creat role data scienc team within lead financi institut use data improv custom satisfact experi posit sit central analyt team role technic requir work stakehold across organis furthermor full autonomi creativ solv problem drive new idea result look experienc data analyst work alongsid data scientist engin order drive action insight across broad stakehold group includ scope design analyt solut data extract manipul dash board work across hadoop platform identifi anomali trend data custom segment deliveri present team stakehold promot new innov way tool improv data discoveri insight cross skill mentor data scientist engin team although role initi data scientist hope identifi talent data analyst kick start career direct technic speak expert sql work across tradit data warehous m sql teradata ideal unstructur environ experi visualis tool tableau qlikview power bi import interest deliv high profil analyt capabl lead financi institut plea contact jeremi taylor tomexecut com resum
2,3.0,data statist analyst nsw full time healthcar medic collabor innov better healthcar join organis passion deliv improv health care full time perman opportunityflex work organis base chatswood move state art agil offic st leonard look experienc data analyst work health data prefer epidemiologist biostatistician someon strong interperson skill communic complex quantit data wide rang stakeholdersa high organis individu project manag experi data statist analyst respons provis sophist health relat data analysi interpret use inform key strateg project aci core function posit ensur analysi undertaken comprehens utilis relev data sourc data extract analysi stakehold appropri employ detail employ type full time perman posit classif hsm level remuner 126 per annum plus super hour per week requisit id u collabor innov better healthcar agenc clinic innov aci work clinician consum manag design promot better healthcar nsw inform go http www aci health nsw gov au appli applic must includ cover letter complet questionnair respond select criterion maximum page date resum five page clear detail skill experi relev role select criterion tertiari qualif relev field demonstr experi use sa r similar statist packagesdemonstr profici skill program new analysi clean structur data develop valid appropri model use multipl data sourcessuperior knowledg health relat data collect includ strength limitation collabor negoti design analysi assist inform decis regard new approach health servic deliveri copi posit descript access posit descript aci valu diver inclus aborigin torr strait island person would like inform appli role within aci plea contact one aborigin workforc consult email aboriginalcar health nsw gov au person disabl requir inform specif arrang particip recruit process plea contact peopl cultur coordin would like inform role plea contact tom chen posit perman posit requir full work right australia e g australian citizenship perman australian resid current hold temporari visa allow live work australia may elig employ opportun line condit visa close date midnight august
3,3.0,financ data analyst nsw contract temp account newli form australian health servic provid recent secur nation contract one largest workforc australia group offer number servic number well establish brand work hire data analyst join financ project team sydney report commerci financ manag provid regular month report forecast workforc plan activ invoic execut manipul data activ use sql provid insight analysi provid oversight invoic process ensur data integr accuraci work stakehold across busi identifi document key busi requir solut implement map busi financ process develop measur kpis demonstr qualit valu add addit assist broader team provid signific valu busi time insight report kpis consid role abl manipul data use sql ideal previous experi use power bi proven abil work collabor across complex data need abl provid concis detail report dashboard experi salesforc skedulo high regard doe sound like interest plea click appli button confidenti discus posit contact jane hugh acquir talent
4,3.0,data statist analyst nsw full time healthcar medic collabor innov better healthcar join organis passion deliv improv health care full time temporari opportun avail period decemb flexibl work organis base chatswood move state art agil offic st leonard look experienc data analyst work health data prefer epidemiologist biostatistician someon strong interperson skill communic complex quantit data wide rang stakeholdersa high organis individu project manag experi data statist analyst respons provis sophist health relat data analysi interpret use inform key strateg project aci core function posit ensur analysi undertaken comprehens utilis relev data sourc data extract analysi stakehold appropri employ detail employ type full time temporari opportun decemb posit classif hsm level remuner 126 per annum plus super hour per week requisit id u collabor innov better healthcar agenc clinic innov aci work clinician consum manag design promot better healthcar nsw inform go http www aci health nsw gov au appli applic must includ cover letter complet questionnair respond select criterion maximum page date resum five page clear detail skill experi relev role select criterion tertiari qualif relev field demonstr experi use sa r similar statist packagesdemonstr profici skill program new analysi clean structur data develop valid appropri model use multipl data sourcessuperior knowledg health relat data collect includ strength limitation collabor negoti design analysi assist inform decis regard new approach health servic deliveri copi posit descript access posit descript aci valu diver inclus aborigin torr strait island person would like inform appli role within aci plea contact one aborigin workforc consult email aboriginalcar health nsw gov au person disabl requir inform specif arrang particip recruit process plea contact peopl cultur coordin would like inform role plea contact tom chen posit temporari posit requir full work right australia e g australian citizenship perman australian resid current hold temporari visa allow live work australia may elig employ opportun line condit visa close date midnight august
5,1.0,data entri analyst vic full time administr offic support u direct respons medium apac lead perform market agenc base port melbourn due continu busi growth seek ambiti data entri join analyt team kick start data analyst career role perform market agenc leverag creat latest technolog transform offlin medium advertis tv radio etc onlin metric cost per click etc chang game mani perform market advertis utilis data understand manipul skill get data readi analysi analyst also work relev account manag medium coordin ensur valid accuraci data offer peopl import part direct respons medium nurtur mentor talent also reward excel well long term stabl role prompt career progress mentor opportun avail social earth work cultur provid unlimit coffe friday offic drink celebr amaz weekabl appli data analyt skill australia excit fastest grow brandswork latest market technolog high perform friend team member skill expertis advanc expert excel skill strong problem solv skill high attent detail strong communic skill entri level data analysi skill abil prioritis abil work within team environ independ experi work agenc mandatori
6,1.0,data bill analyst commerci industri vic full time mine resourc energi client australian compani provid expert guidanc power use cost transform way australian busi buy electr set find new better way bring custom reliabl energi bring cost put power back busi hand seek enthusiast data bill analyst join oper analysi team hq oper analysi team respons various report data analysi function work close sale team oper manag supervis would play pivot role transform data within system meaning insight measur respons role includ develop action insight communic commerci industri client creat deep dive analyt dashboard identifi revenu growth custom advocaci opportun work data inform extract use various tool like sql excel kwatch creat updat maintain new exist tool accord defin schedul busi paramet monitor analys promot result suggest recommend revenu generat monitor sale team inform request concern potenti exist client dedic inbox leverag inform provid key intern stakehold design build new report tool work team continu improv process report output complet month ad hoc report analysi task perfect fit experi data analysi commerci industri energi industri prefer otherwis across various field bank financ energi account etc experi sql queri similar databas queri advanc microsoft excel skill formula pivot tabl statement vlookup etc strong stakehold manag communic skill abil prioritis workload work tight timefram whilst juggl conflict prioriti analyt approach strong problem solv capabl excel attent detail keen join grow busi realli make differ learn progress role look individu energet posit challeng status quo ideal love solv problem desir connect engag custom sound like perfect match interest plea hit appli
7,1.0,data entri nsw contract temp administr offic support new companyth renown fmcg compani work locat macquari park forefront good distribut australia new roleyour new role involv enter edit data promot team new role ongo temporari role possibl go perman main respons includ enter promot detail systemproofread promot ensur error manag intern system ensur updateddevelop maintain relationship intern extern stakeholdersyour profil demonstr high attent detail strong excel skill includ pivot tabl vlookup previous data entri experi benefit support inclus team work cultur competit salari ongo temporari role possibl becom perman new offic build delici cafe locat downstair sound like appli confidenti discus contact isabella gambino isabella gambino randstad com au randstad passion provid equal employ opportun embrac diver benefit activ encourag applic background
8,2.0,data acquisit offic nsw full time inform communic technolog opportun part research report analyt data system rrad team within research portfolio main purpos data acquisit offic support data acquisit team captur verif clean research output intern extern use includ public patent grant data research manag system irma posit instrument sourc new data support univers intern extern report oblig univers valu courag creativ open engag inclus diver respect integr see import recruit talent align valu look data acquisit offic po excel analyt problem solv numeraci skill especi high data volum environ knowledg data manipul techniqu ensur data consist across wide rang data set extract various sourc demonstr capabl data manipul packag python sql alteryx demonstr abil meet deadlin work effect within complex organis structur u univers sydney commit continu improv research perform maintain lead role within australia improv competit posit intern order contribut econom social cultur well australia wider world realis vision univers implement strategi attract nurtur brightest research support undertak research make origin contribut knowledg understand focus research activ creat area critic mass coordin invest key strateg area align organis structur support capabl key disciplin cross disciplinari area build capac undertak mani differ kind research translat includ intellectu properti protect commerci sinc incept year ago univers sydney led improv world around u believ educ effect leadership make life better valu reflect approach diver inclus underpin long term strategi growth australia first univers outstand global reput academ research excel across campus employ academ non academ staff support student undergo signific transform chang bring opportun innov progress think break convent challeng status quo improv world around u appli inform posit univers plea view candid inform pack avail job list univers sydney career websit applic must submit via univers sydney career websit visit sydney edu au recruit search refer number appli plea note visa sponsorship avail posit close date sunday septemb univers sydney commit diver social inclus applic peopl cultur linguist diver background equiti target group includ woman peopl disabl peopl identifi lgbtiq peopl aborigin torr strait island descent encourag univers sydney univers reserv right proceed appoint
9,3.0,data analyst nsw full time inform communic technolog work multipl intern team abl qualifi analys complex data set take initi deliv signific action orient analysi recommend stakehold help drive decis make insight custom data analysi client detailsour client well known australian retail leader field pride deliv first class custom experi onlin store current implement innov tool across busi need someon come board newli creat posit assist drive digit strategi optimis custom journey across channel descriptionwork data analyt team deliv signific action orient analysi recommend stakehold help drive decis make insight custom data analysisproject focus analyt project start understand stakehold need problem definit analysi interpret result well communic find oper team market categoryanalyz impact higher perform custom experi specialist custom satisfact loyaltyanalyz process improv custom experi specialist productivityensur deliveri regular report time without erroreffici extract relev datashar find use impact data visual effici communicationexcel msbi tableau use alteryx plusbal multipl prioriti updat stakehold progress expect deliveri profilebachelor degre comput scienc mathemat statist relat degre programsql profici requir extract data larg databas use sql develop data queriesexcel problem solv skill includ abil analyz resolv complex problemsstrong busi sensework fmcg pluscuri proactiv practic solut orient get done attitudeexcel communic comprehens skill confid communic peopl differ level senior analyt understand wide varieti background share opinion propos idea improv oper base data impact custom experienceattent detail commit data integrityawar import discret confidenti ethic job offercompetit remuner packag opportun develop career part journey organis one advanc australian retail market across big data toolset conveni locat sydney north shore appli onlin plea click appli button confidenti discus role plea contact selena
