,salary_label,comb_description
0,1.0,junior market research data analyst nsw full time marketing communication business small mighty team made smart people love learning every day encourage individual passion area expertisewe promote strong culture work life balance ensuring people time enjoy thing love outside officeour people love get together friday arvo drink long lunch one many amazing restaurant bar near office rushcutters bayour gorgeous boutique office located rushcutters bay walking distance bus king cross station role expect first month project management including liaising client supplier monitoring quota fieldwork timeline delivery datafiles suppliersdata manipulation cleaning processing including merging restructuring file weighting result constructing data variable preparing data file analysis q excel data table clientssupporting team client efficient way present data charting creating dashboardsdelivering client engagement consistently high standard accuracy within month identifying opportunity automation within tracking study implementing solutionsanalysis interpretation data help develop compelling consumer insight presentation support reporting month beyond data expert company go person combining secondary data survey data dashboard solution data architecture automation benefit perk collaborate senior decision maker australia leading blue chip company consumer good retail service solve challenging business problemsgain exposure range strategic consulting consumer insight project thoughtful project take people work withongoing training support industry conference topic specific training course annual site far amsterdam istanbul closer home bowral blue mountain killcare skill experience must have relevant university qualification demonstrating 2 year experience market research panel provider research agencyexcellent attention detail high quality standard regarding data qualitycommercial thinking strong business acumen ability think strategicallyexperience market research analysis skill q spss nice have programming language r sa sql python spss syntaxdashboarding solution tableau displayrmarketing science segmentation driver modellingmarket research platform medallia qualtricssoftware regularly use excel powerpoint mekko graphic q tableau
1,2.0,data analyst nsw full time information communication technology well established company start culture looking junior data analyst strong sql skill microsoft background join busy team role taking requirement stakeholder end end view reporting requirement business work closely business bi team build report dashboard allow decision support develop maintain code extract datamart existing data warehouse build new data model along technical documentation defines scope business priority small scale change may assist larger scale scoping exercise data analysis data modelling technique establish modify maintain data structure design code test document moderately complex program script write technical design brief skill customer focused approach year experience business intelligence analysis development proficient sql microsoft bi suite tableau desktop server sql server ssms ssis ssrs tableau skill good understanding database modelling data warehouse exceptional communication skill written verbal ability interact professional manner build relationship broad range people translate requirement project scope technical documentation worked agile methodology python experience desirable experience azure platform sql azure adf blob storage desirable looking new challenge please contact sasha 121 discus
2,3.0,data analyst data science team nsw full time information communication technology newly created role data science team within leading financial institution using data improve customer satisfaction experience position sits central analytics team role technical required work stakeholder across organisation furthermore full autonomy creative solve problem drive new idea result looking experienced data analyst work alongside data scientist engineer order drive actionable insight across broad stakeholder group include scoping designing analytics solution data extraction manipulation dash boarding work across hadoop platform identify anomaly trend data customer segmentation delivery presentation team stakeholder promote new innovative way tool improve data discovery insight cross skill mentored data scientist engineer team although role initially data scientist hopeful identifying talented data analyst kick start career direction technically speaking expert sql worked across traditional data warehouse m sql teradata ideally unstructured environment experience visualisation tool tableau qlikview power bi important interested delivering high profile analytics capability leading financial institution please contact jeremy taylor tomexecutive com resume
3,3.0,data statistical analyst nsw full time healthcare medical collaboration innovation better healthcare join organisation passionate delivering improved health care full time permanent opportunityflexible working organisation based chatswood moving state art agile office st leonard looking experienced data analyst worked health data preferable epidemiologist biostatistician someone strong interpersonal skill communicate complex quantitative data wide range stakeholdersa highly organised individual project management experience data statistical analyst responsible provision sophisticated health related data analysis interpretation used inform key strategic project aci core function position ensure analysis undertaken comprehensive utilises relevant data source data extraction analysis stakeholder appropriate employment detail employment type full time permanent position classification hsm level remuneration 961 126 00 per annum plus super hour per week requisition id u collaboration innovation better healthcare agency clinical innovation aci work clinician consumer manager design promote better healthcare nsw information go http www aci health nsw gov au apply application must include cover letter completed questionnaire responding selection criterion maximum page date resume five page clearly detail skill experience relevant role selection criterion tertiary qualification relevant field demonstrated experience using sa r similar statistical packagesdemonstrated proficient skill program new analysis clean structure data develop validate appropriate model using multiple data sourcessuperior knowledge health related data collection including strength limitationsability collaborate negotiate others design analysis assist informing decision regarding new approach health service delivery copy position description accessed position description aci value diversity inclusion aboriginal torres strait islander person would like information applying role within aci please contact one aboriginal workforce consultant 004 email aboriginalcareers health nsw gov au person disability require information specific arrangement participate recruitment process please contact people culture coordinator 9464 would like information role please contact tom chen 9464 position permanent position requires full working right australia e g australian citizenship permanent australian residency currently hold temporary visa allows live work australia may eligible employment opportunity line condition visa closing date midnight august
4,1.0,data entry nsw contract temp administration office support new companythe renowned fmcg company working located macquarie park forefront good distribution australia new roleyour new role involve entering editing data promotion team new role ongoing temporary role possibility go permanent main responsibility include entering promotion detail systemproofreading promotion ensuring error managing internal system ensuring updateddeveloping maintaining relationship internal external stakeholdersyour profile demonstrate high attention detail strong excel skill including pivot table vlookups previous data entry experience benefit supportive inclusive team work culture competitive salary ongoing temporary role possibility become permanent new office building delicious cafe located downstairs sound like apply confidential discussion contact isabella gambino 3102 isabella gambino randstad com au randstad passionate providing equal employment opportunity embracing diversity benefit actively encourage application background
5,3.0,finance data analyst nsw contract temp accounting newly formed australian health service provider recently secured national contract one largest workforce australia group offer number service number well established brand working hire data analyst join finance project team sydney reporting commercial finance manager provide regular monthly reporting forecasting workforce planning activity invoicing execute manipulate data activity using sql provide insight analysis provide oversight invoicing process ensure data integrity accuracy work stakeholder across business identify document key business requirement solution implementation map business finance process develop measurement kpis demonstrate qualitative value add additionally assist broader team provide significant value business timely insightful reporting kpis considered role able manipulate data using sql ideally previous experience using power bi proven ability work collaboratively across complex data need able provide concise detail report dashboard experience salesforce skedulo highly regarded sound like interested please click apply button confidential discussion position contact jane hughes acquire talent 442889
6,3.0,data statistical analyst nsw full time healthcare medical collaboration innovation better healthcare join organisation passionate delivering improved health care full time temporary opportunity available period december flexible working organisation based chatswood moving state art agile office st leonard looking experienced data analyst worked health data preferable epidemiologist biostatistician someone strong interpersonal skill communicate complex quantitative data wide range stakeholdersa highly organised individual project management experience data statistical analyst responsible provision sophisticated health related data analysis interpretation used inform key strategic project aci core function position ensure analysis undertaken comprehensive utilises relevant data source data extraction analysis stakeholder appropriate employment detail employment type full time temporary opportunity december position classification hsm level remuneration 961 126 00 per annum plus super hour per week requisition id u collaboration innovation better healthcare agency clinical innovation aci work clinician consumer manager design promote better healthcare nsw information go http www aci health nsw gov au apply application must include cover letter completed questionnaire responding selection criterion maximum page date resume five page clearly detail skill experience relevant role selection criterion tertiary qualification relevant field demonstrated experience using sa r similar statistical packagesdemonstrated proficient skill program new analysis clean structure data develop validate appropriate model using multiple data sourcessuperior knowledge health related data collection including strength limitationsability collaborate negotiate others design analysis assist informing decision regarding new approach health service delivery copy position description accessed position description aci value diversity inclusion aboriginal torres strait islander person would like information applying role within aci please contact one aboriginal workforce consultant 004 email aboriginalcareers health nsw gov au person disability require information specific arrangement participate recruitment process please contact people culture coordinator 9464 would like information role please contact tom chen 9464 position temporary position requires full working right australia e g australian citizenship permanent australian residency currently hold temporary visa allows live work australia may eligible employment opportunity line condition visa closing date midnight august
7,1.0,data admin coordinator immediate start nsw full time administration office support past year redefining fundraising industry australia cutting edge fresh unique approach work world leading non profit brand across australia new zealand thailand position become available data coordinator come board join high performing administration team administrator back bone operation critical result achieve behalf charity primary purpose data coordinator ensure availability data contact centre platform business hour provide accurate data report daily weekly monthly basis day day duty busy support role also include administration contact centre request data entry extraction verification problem resolution management maintenance log documented process customer support internal staff strong excel skill required previous experience sql would advantage important desire learn flexibility pitch help others team required interested discussing role please send cv fundraising com au quoting datacoordsyd call u 364 australian resident permanent visa holder considered
8,3.0,commercial insight analyst nsw full time information communication technology working multiple internal team able qualify analyse complex data set take initiative deliver significant action oriented analysis recommendation stakeholder help drive decision making insight customer data analysis client detailsour client well known australian retailer leader field pride delivering first class customer experience online store currently implementing innovative tool across business need someone come board newly created position assist driving digital strategy optimise customer journey across channel descriptionwork data analytics team deliver significant action oriented analysis recommendation stakeholder help drive decision making insight customer data analysisproject focused analytical project starting understanding stakeholder need problem definition analysis interpretation result well communicating finding operational team marketing categoryanalyzing impact higher performance customer experience specialist customer satisfaction loyaltyresponsible roiensure delivery regular report time without errorefficiently extract relevant data apply analytical technique drive ationable insight sharing finding using impactful data visualization efficient communicationbalance multiple priority updating stakeholder progress expected delivery profilebachelor degree computer science mathematics statistic related degree programsql proficiency required extract data large database using sql develop data queriesexcellent msbi tableau using alteryx plusexcellent problem solving skill including ability analyze resolve complex problemsstrong business sense strategic thinkingworked fmcg pluscurious proactive practical solution oriented get done attitudeexcellent communication comprehension skill confident communicating people differing level seniority analytical understanding wide variety backgroundsable willing share opinion propose idea improve operation based data impact customer experienceattentive detail committed data integrityaware importance discretion confidentiality ethic job offercompetitive remuneration package opportunity develop career part journey organisation one advanced australian retail market across big data toolset convenient location sydney north shore apply online please click apply button confidential discussion role please contact selena 8292
9,1.0,data entry analyst vic full time administration office support u direct response medium apacs leading performance marketing agency based port melbourne due continued business growth seeking ambitious data entry join analytics team kick start data analyst career role performance marketing agency leveraging creating latest technology transformed offline medium advertising tv radio etc online metric cost per click etc changed game many performance marketer advertiser utilise data understanding manipulation skill get data ready analysis analyst also work relevant account manager medium coordinator ensure validity accuracy data offer people important part direct response medium nurture mentor talent also reward excellence well long term stable role prompt career progression mentoring opportunity available social earth work culture provides unlimited coffee friday office drink celebrate amazing weekability apply data analytical skill australia exciting fastest growing brandswork latest marketing technology high performance friendly team member skill expertise advanced expert excel skill strong problem solving skill high attention detail strong communication skill entry level data analysis skill ability prioritise ability work within team environment independently experience working agency mandatory
